s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon
S15-192-2,Chinna Neelangarai Kuppam,Tenable,192,454,1329,15,"Chinna Neelangarai Kuppam, Ward 192, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9558405,80.2621005
S14-185-22,Palavakkam Colony,Tenable,185,79,287,14,"Palavakkam Colony, Ward 185, PER UNGUDI, Chennai, Tamil Nadu, India",12.9616562,80.256219
S14-184-13,Kandanchavadi Kallukutti Part X,Tenable,184,78,310,14,"Kandanchavadi Kallukutti Part X, Ward 184, PER UNGUDI, Chennai, Tamil Nadu, India",12.9658958,80.2423184
S14-183-8,Kottivakkam Kuppam,Tenable,183,275,952,14,"Kottivakkam Kuppam, Ward 183, PER UNGUDI, Chennai, Tamil Nadu, India",12.9673441,80.2640747
S14-183-3,"Kottivakkam,Anna Nagar",Tenable,183,144,487,14,"Kottivakkam,Anna Nagar, Ward 183, PER UNGUDI, Chennai, Tamil Nadu, India",12.9682126,80.2599427
S14-183-4,Kottivakkam Elango Nagar,Un-tenable,183,491,1635,14,"Kottivakkam Elango Nagar, Ward 183, PER UNGUDI, Chennai, Tamil Nadu, India",12.9682126,80.2599427
S14-183-6,Kottivakkam M.G.R.Nagar,Tenable,183,55,196,14,"Kottivakkam M.G.R.Nagar, Ward 183, PER UNGUDI, Chennai, Tamil Nadu, India",12.9682126,80.2599427
S14-183-7,Kottivakkam Vengadapuram,Tenable,183,158,519,14,"Kottivakkam Vengadapuram, Ward 183, PER UNGUDI, Chennai, Tamil Nadu, India",12.9682126,80.2599427
S14-183-5,Kottivakkam New Colony,Tenable,183,87,328,14,"Kottivakkam New Colony, Ward 183, PER UNGUDI, Chennai, Tamil Nadu, India",12.96939,80.257738
S14-188-26,"Madipakkam ,Thai Nagar",Tenable,188,46,176,14,"Madipakkam ,Thai Nagar, Ward 188, PER UNGUDI, Chennai, Tamil Nadu, India",12.9542438,80.2101705
